sample_id,ordering,kendall_tau,t_peak_IL1,t_peak_IL12,t_peak_IL10
482,IL10<IL1<IL12,-0.33333333333333337,0.25,120.0,0.0
483,IL10<IL12<IL1,-1.0,1.25,1.0,0.5
484,IL1<IL12<IL10,1.0,0.25,0.25,120.0
485,IL1<IL12<IL10,1.0,120.0,120.0,120.0
486,IL1<IL12<IL10,1.0,0.0,0.25,100.5
487,IL12<IL1<IL10,0.33333333333333337,0.5,0.25,120.0
488,IL1<IL12<IL10,1.0,0.5,0.5,120.0
489,IL12<IL1<IL10,0.33333333333333337,2.25,1.5,120.0
490,IL1<IL10<IL12,0.33333333333333337,0.0,120.0,0.0
491,IL1<IL12<IL10,1.0,0.25,0.25,120.0
492,IL1<IL12<IL10,1.0,0.5,1.5,12.0
493,IL1<IL12<IL10,1.0,0.25,0.25,0.25
494,IL1<IL12<IL10,1.0,1.75,3.75,120.0
495,IL1<IL12<IL10,1.0,0.25,0.25,3.75
496,IL1<IL12<IL10,1.0,0.0,0.0,0.0
497,IL1<IL12<IL10,1.0,0.25,6.0,120.0
498,IL1<IL12<IL10,1.0,9.5,10.25,120.0
499,IL1<IL12<IL10,1.0,0.25,0.25,12.75
500,IL10<IL1<IL12,-0.33333333333333337,0.5,0.75,0.0
501,IL1<IL12<IL10,1.0,120.0,120.0,120.0
502,IL1<IL12<IL10,1.0,4.25,120.0,120.0
503,IL1<IL12<IL10,1.0,0.0,0.0,0.0
504,IL1<IL12<IL10,1.0,0.25,0.25,120.0
505,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,7.25
506,IL12<IL10<IL1,-0.33333333333333337,0.25,0.0,0.0
507,IL12<IL1<IL10,0.33333333333333337,1.5,1.25,120.0
